country_code,country,year,sanction_active,sanction_intensity_index,wellbeing_index,wellbeing_index_100,child_mortality_u5_z,school_enrollment_z,SE.PRM.NENR.FE_z,unemployment_rate_z,inflation_rate_z
PRT,PRT,2024,0.0,0.0,0.5572747294209422,97.6459037511558,0.8790335493989112,0.7763064749420624,0.7898402514767572,0.23833602049074062,0.10285735079624019
PRY,PRY,1995,0.0,0.0,0.3434218328629984,96.31390234573445,0.10906234825855776,0.2672349148165269,0.6090185138171355,0.7997439157272721,-0.06795052830450037
PRY,PRY,1996,0.0,0.0,0.2347576517335448,95.63707802250545,0.1331924998612468,0.5037527914629956,0.6090185138171355,-0.060477859231929366,-0.011697687241724385
PRY,PRY,1997,0.0,0.0,0.3639657362938329,96.44186183884001,0.1551290013182369,0.5439517415045667,0.6434371042080748,0.44478924648094886,0.032521587957337214
PRY,PRY,1998,0.0,0.0,0.40270795343010235,96.68317111500718,0.17487185262952815,0.5841506915461389,0.6778556945990131,0.6155659062254809,-0.038904377849649535
PRY,PRY,1999,0.0,0.0,0.40249911916849024,96.68187037260694,0.1924210537951202,0.624349641587709,0.7122742849899513,0.44786793493869764,0.035582680530973
PRY,PRY,2000,0.0,0.0,0.3541355791348625,96.38063384818844,0.21216390510641128,0.715117115922925,0.8050949933050425,0.037315774131853524,0.000986107208080152
PRY,PRY,2001,0.0,0.0,0.4057164448074855,96.70190976576839,0.22751945612630442,0.6976805311167242,0.7842228325386549,0.291579220877689,0.02758018337805503
PRY,PRY,2002,0.0,0.0,0.22648346560326277,95.58554153302298,0.24287500714619742,0.5524928630610265,0.6453557050086934,-0.2855843152896741,-0.022721931909929487
PRY,PRY,2003,0.0,0.0,0.2911937886644354,95.98859542029822,0.26042420831178964,0.501601466581125,0.5930114814922482,0.1814708336829113,-0.08053904674589736
PRY,PRY,2004,0.0,0.0,0.32117618851433,96.17534341100007,0.2757797593316827,0.45949006256140634,0.5613610126099943,0.23598172931716807,0.07326837875139859
PRY,PRY,2005,0.0,0.0,0.39755426373933556,96.65107090957767,0.2933289604972748,0.5077863397729567,0.6102510763350113,0.5416773832395115,0.03472755885192362
PRY,PRY,2006,0.0,0.0,0.3284580145329241,96.22069889903374,0.31087816166286686,0.38555555319684276,0.49447024499155046,0.4598204901276044,-0.008434377314244002
